review,vibe
3번 접시 튀김은 식으면 느끼,
고급주택이어 비쌀수 밖에 없는 현실 매우비싼데 서비스는 빵점,
수많은 가게들이 없어지고 새로 생기는 홍대에서 꽤 오랜 시간 자리잡고 있는 돈코츠라멘 맛집,
열탄불고기와 껍데기 맛집입니다,
비싼만큼 되게 맛잇엇다,
"양도 만족스럽고, 재료가 정말 풍성합니다",
서비스가 좋습니다,
맛은 가격만큼 나와서 나쁘지 않게 먹음,
겨울이면 훨씬 자주 갔겠지만 비 오는 날 간다면 진짜 최고일 듯합니다,
돈마크호추천함,
밥 두 그릇은 꼭 먹게된다,
대게살 볶음밥은 맛있었다,
마라탕집인데 더워죽습니다 진정한 이열치열사진 기온 29도,
직원 모두가 한국어와 중국어 모두 능숙하게 구사하므로 언어적인 부분은 걱정할 필요가 없었다,
홍대역과가깝고 실래도깨끗해요,
이정도 동파육이면 서울 내에서 손가락에 꼽을수 있습니다,
"김치찌개, 홍어회,녹두전이 맛있습니다",
맛있음 다시 갈 의사 있음,
신선한 느낌이다,
진짜 하나하나 다 구워주시고 존맛,
가볍게 먹기 좋았습니다,
맥주 안주로 제격,
진한 돈코츠 라멘은 여기만한데가 없는듯,
늦게까지 영업합니다,
"근데 양이 좀 적은듯, 특사이즈가 없는거 같던데 좀 더 큰거 있음 좋겠음",
직원은 느릿느릿하며 실내는 덥습니다,
입문용으로 아주 적당,
사이다 시키면 매실사이다 또는 블루베리 사이다로 와인잔에 담겨 나오는 것도 분위기에 일조하네요,
아주 완벽함,
홍대입구에서 오랫동안 영업한 김치찌개전문점 간단하게 김치찌개 한끼먹기엔 적당한 장소,
음료는 특이하게 모두 병음료로 제공되고 있습니다,
매운쌀국수만 시키던지 아니면 매운쌀국수는 뻬고 다른 메뉴들을 시키던지 선택하는게 좋을것 같습니다,
이렇게 힘들게 먹어야 하는걸까 싶긴 한데 주기적으로 생각나는 곳이긴 함 소세지 추가가 맛있단 얘기가 꽤 있길래 추가해봤는데 맛없어서 다 남김,
정말 좋다,
알밥 빼곤 다 맛있었어요,
우연히 길가다가 들른 곳 세트메뉴도 있었지만 첨 간 곳이라 매운유니짜장시켰어요,
잠깐 봐도 주방이 깔끔해졌어요,
너무 맛있습니다 그리고 맛을 다양하게 먹을 수 있는것도 좋습니다,
사이다에 매실 섞은듯한 매실사이다 맛있어요,
"가격대비, 동종의 근처가게랑 비교해봤을때 좋은 냉면입니다 단, 국산메밀100 만든냉면은 순냉면으로 가격이 다릅니다",
전반적으로 맛은 평범하도 서비스가 별로인곳이네요,
오늘은 구이샤브를 먹었는데 이것도 좋았다,
이만한 곳을 주변에서 찾기 힘들 것 같아요,
전체적으로 아주 맛있는한그릇이다,
타코 맛있다,
맛있습니다 술 까기 좋습니다,
제면하신다고 봤는데 면이 엄청 특별하진 않다 그래도 맛있는 한끼 먹을 수 있는곳이라 생각 자리도 널찍하고 괜찮다 스끼야끼도 하시던데 다음에 먹으러 갈듯 튀김 소스 더 달라고 하면 주신다 텐동에 모자라게 뿌려져 있긴하다 개인적으론,
홍대 마라탕 최고존엄이라고 자신한다,
꼬치는 말이 필요없는 맛이었습니다만 샤브샤브는 꼬치에 비해선 별로였어요 하지만 맛있긴 아주 맛있습니다 재방문의사 많아요,
제가 시킨건 레귤러 사이즈입니다,
맵기가 약한 편 밥이 적어보이나 내용물이 꽤나 있어서 배부를 것,
적당한 가격에 깔끔한 식사를 할 수 있는 곳,
2인이서는 양이 좀 부담스럽더라구요,
순대국 국물 더 달라고하니 안주네요 보통 다른곳은 서비스로 주던데,
주말에 손님이 많은관계로 자리배정이 원활하게 이뤄지지가 않았습니다,
비오는 날 가기 딱 좋아요,
식기류는 더러운 것들이 많아 비 위생적으로 느껴졌다,
막창이나 닭날개라도 나와야할듯 38000원인데,
두 번째로 우리 셋이 나눠 먹었는데 아주 만족스러웠습니다,
물론 딤섬이 맛있는 건 당연,
손님들도 만석이었었어요,
"맛있었고, 즐거웠다",
친구끼리 먹으러 가기 너무 좋아요,
현지 맛은 잘 안나지만 추억이 생각남,
만두들이 모두 아주 맛있어요,
난 육수의깊은맛을 원한거였는데 간장투척이라서 간장맛뿐이 안남,
12시 전에 가시는걸 추천,
가지가 꽃 같은 꽃길만 걷게 될 것이라는 맛있어요 짜장면이 없는 곳 대화하기에도 좋아요 비쥬얼 짱,
오랜 기다림에 걸맞는 대단한 맛도 아님,
블루리본 5년연속의 라멘집,
신촌에서 먹는 돼지국밥 중 가장 괜찮은 것 같아요,
평일 저녁 7시에 이곳을 찾았다,
여기 홍대에선 샤브샤브로 유명한 곳이기도 해요,
돈수백정식뿌셨어요,
미안하단 말 없이 어,
골드피쉬 수준은 아니지만 또다르게 꽤나 좋은맛 요리가 동파육과 오향장육만 있어서 아쉬움 라웨이황과는 싼 대신 딘타이펑에서 파는게 더 맛이 강해 내입맛에 맞음 간장소스가 아니라 식초베이스의 상큼한 소스를 쓰는데 나쁘지 않음 육즙이 많은데 다른곳,
"맛은 더 가볍고, 천위화의 마늘 치킨과는 다른, 부추 디핑 소스 맛이 좋습니다",
서울에는 드문 도쿄식 라멘집입니다,
더 받아서 넣어먹어야 진찌훠궈맛을 느낄수 있음 이날은 단호박셀러드가 상해서 매우 꾸리꾸리한맛이남 다른건좋았음 야채는 많은데 청경채가없어서 아쉬움 다양한,
평일 런치가 가성비 갑,
새우튀김과 생강들어가는 쇼유우동이 매우 맛있다,
진짜맛있음 꿔바로우도 존맛,
오래된 동네중식집,
인스타 맛집은 믿고 걸러야겠다고 생각하게 된 계기가 되었다 홍대내 다른 라멘집이 더 나은것 같다,
적당히가 맛있는데 너무많아서 완젼 바닷물이랑 볶아준줄알았네요 쭈꾸미는 그냥 그저그럼,
맛있고 이국적이긴 한데 제 입에는 많이 아주많이 짰어요,
그대로는 먹을 수 가 없어서 결국 편의점에서 얼음잔을 사와서 먹었습니다,
고기를 열심히 구워주시는 직원분들 덕분에 모임 즐겁게 할수 있었던 고기 맛집 돼지고기의 소고기 같은 느낌을 선사하는 맛집,
연남동 브런치 카페,
음식맛은 없지않으나 가격을 생각한다면 차라리 블랙스톤이 낫지않나,
소개팅하는 커플이 많다,
내 음식만 그런 것이었다면 좋겠다,
소스도 매운데 해물도 별로없고 야채도 그닥이고,
만두 매니아라면 꼭 가보아야 할 곳,
직원이 요리를 잘합니다,
가게 이름을 오우와이씨로 바꾸셔야 할 듯 완 전 맛 나 요,
감히 최고중 하나라 말할수 있는 곳,
홍탕 맛이 진한편은 아니었는데 그럼에도 내 입맛엔 약간 매웠음,
양재동 국밥이 많이 나에게 맞는다,
다음엔 소바 먹어야지 싶어요,
가족끼리 가기보다는 친구들과 가기 좋은곳 같아요,
너무 정신없고 사람 많아서 좁은게 흠이지만 맛은 인정,
한우 스테이크 진짜 맛있어요,
익숙하면서도 낯선 묘한 진짜 일본의 맛을 느낄 수 있는 식당이었습니다,
분위기 좋고 맛도 좋다,
서비스도 친절하고 사이드메뉴도 괜찮다,
베리 레모네이드 주스는 맛이 있었어요,
"어쩔수 없는것이 부추, 파, 마늘이 많아서 먹고나면 입에서 김치 냄새가 난다",
"튀김은 양도많고 잘튀기네요 미역우동은 괜찮았는데 붓가케 기대하고 또 다시 도전했지만 한국에선 일본에서 먹던맛은 어디가도 찾을수가없네요 가미우동, 교다이아, 우동카텐 다먹어봐도 소스, 면발이 별로예요",
별 두개짜리 대표 메뉴 시켰는데 너무 짭니다,
파스타 맛이좋은편,
조금 떨어진곳이지만 북적이지 않는 분위기 좋은곳을 윈한다면 강추,
베이컨 계란 감자 이렇게 올려서 먹으면 미소가 지어지는 맛이다,
단점은 너무 시끄러워서 대화하기힘들어서 이런저런 얘기하면서 술먹거나 밥먹을거면 비추,
그래도 옛날 무타히로보다는 무메이가 나은듯,
10시에 오픈해서 9시 40분부터 기다렸는데 딱 들어가게됨 테이블 6개있고 온 순서대로 주문받음 10시에 주문했는데 11시에 나옴요 단점은 엄청 오래걸리고 불친절함 근데 맛은인정,
그녀는 인종차별주의자입니까,
"탕, 재료, 소스를 개별로 주문하는 방식이라 나중에 합산하면 정말 비싸진다",
블랙과 소유 모두 너무 진한느낌이 들었는데 그 느낌이 저에게는 썩 좋지 않은 경험으로 다가왔습니다,
토마토소바 맛나요,
엄청난 두께임에도 불구하고 그 속까지 완벽하게 레어로 익은 스테이크는 칼이 들어갈 때부터 그 맛을 짐작 할 수 있었습니다,
홍대에서 밥먹기 애매할때 후루룩 따끈하게 한그릇 먹고 가기좋아요 24시간 운영이라 한잔하거나 혼밥하기에도 나쁘지 않은 곳 잔 막걸리도 있으니 반주좋아하시는분들 곁들여보시길 수육이나 다른 메뉴들은 먹어보질 않고 가게되면 국밥만 먹는데 뽀얀국물이 진하고 맛있어요 늘 가면 사람이 많아서 딱히 친절한 편은 아니고 그냥 딱 가격대에 맞는 곳이에요,
밥은 치즈가 들어간 것으로 주문하시는 것을 추천 드립니다,
분짜 맛나네요 ,
양도 많이 주셔서 배부르게 먹을수있어요,
비싸기만 하고 맛은 진짜 없어요 24시간이라서 해장하러갔는데 24시간이 아니었다면 절대 가지 않을 맛이에요 그리고 손님은 많은데 일하는 사람은 적어서 국밥하나 나오는데 엄청 오래걸렸어요,
사장님,
인지는 생각을 해봐야 한다,
22년11월 재방문 주인분이 바뀌셨고,
붙어있는 살도 얼마 없고 질김,
매장 깔끔,
서비스도좋고 맛도 훌륭합니다 그리고 통신사 할인으로 가격까지 착해졌어요,
연트럴파크 초입이라 찾아가기도 편하고 직원들도 굉장히 친절하며 해외에서 먹은 맛보다 더 낫다고 생각되네요,
분위기는 좋음,
아주 좋습니다,
"2시간 제한 무제한이니, 고기로 본전 뽑겠다는 분께 추천하지만, 주말 가격으론 가성비 떨어짐",
다른곳은 면 불어 맨날,
홍대권에서 쇼유라멘으로 유명한 업소중 한곳입니다,
나온거보고 아쉬워서 사진찍는것도 잊었네요,
아기자기한 맛은 없어졌지만 트렌디하고 힙한 웰메이드 레스토랑,
맛은,
매장은 13개의 다찌석이 길쭉한 형태로 되어있습니다,
"흐엉 가격과 맛은 매력적이지만, 기다림이 너무 고되서 망설여질때도 있는 곳이다",
웨이팅 봐라,
손님이 항상 많아서 대기가 있음,
양파와 편마늘을 추가해서 드세요,
작은 골목 2층카페배이자카야 맞은편입니다,
나는 채식주의 자이므로 항상 좋은 샐러드를 찾고 있습니다,
돼지꼬치종류는 삼겹살빼고 모두 추천드립니닷,
치킨 좋아하시면 추천합니다,
쇼유보다는 블랙라면이 더 내 입맛에 맞았다,
"업장이 위치하고 있는 환경이 썩 좋진 않지만, 개인적으로 훌륭한 맛의 평양냉면이었음",
꽤나 인기 많은 집인거같습니다,
그런데 볶음밥은 한국볶음밥 느낌이 나서 더 좋았어요,
서비스가 정말 좋아요,
하고 나온곳이다,
오래 끓일수록,
입구에선 서비스 준다더니 없음,
"돼지꼬치구이와 돼지샤브샤브를 즐길 수 있는 음식점으로, 낮부터 제법 사람이 많은 편이다",
연잎으로 싸서 쩌낸 쑤저우식 동파육은 정말 최고인데 20분 정도는 시간이 걸리는 음식입니다,
갠적인 의견이니 참고만요,
음식도 더위에 녹는 듯,
"특히, 소금에 찍어 먹는 튀김이 일품입니다",
여긴 다른걸론 까도 김치찌개는 못깜,
일본현지의 맛을 잘살리는 편이다,
이 근처 직장인들에게는 점심 회식이나 미팅 장소로 애용됩니다,
먼저 붓가케우동면을 젓가락으로 집어 쯔유에 적셔 맛을 보니 면은 수타면인 듯 형태가 일정치 않고 면의 질감이 카타쯔무리나 우동가조쿠의 것처럼 매끄러운 느낌이 아니고 밀도가 높은 듯 면발 하나하나가 무거우면서 예전에 자주 들렀었고 좋아했었던 지금은 없어진 동부이촌동 보천에서 맛봤던 우동 면발의 느낌이었는데 그 집의 것 보다 좀 더 두꺼운 느낌이었음,
친구랑 점심 먹으러 방문했었는데 깔끔하게 잘 나오고 맛도 좋아서 기분좋게 먹고 나왔네요,
구이로 먹다가 국물로 바꿨습니다,
점심시간에 가니 평일에도 대기가 많은 상태였음,
신선한 음료가 마음을 맑게 만들어주는 곳입니다,
"서울 최고의 만두집 딤섬, 군만두 그냥 다 최고 처음엔 고급 쟈스민 차를 서빙해주시는데 향이 좋음 동파육도 느끼하지 않고 딱 너무 맛있음 음악 선곡도 최고 주로 팝, 단골인 친구 따라 가서 서비스 메뉴도 두 가지나 얻어먹었는데 다 너무 맛있어서 감동 홍콩 가고싶으면 여길 오면 될듯",
풍미가 훌륭합니다,
음식은 좋았구요,
"들어갔을때 말라비틀어져있고 찌꺼기만남은 디저트 케잌류 나갈때도 그대로임 요즘은 김천가도 앞치마는있다,없는게 자랑도아니고 제대로된 안내도못받았고 직원교육이 1도안돼있고 모든면에서 개판이라 식사하는 손님들표정이 다어두움,4시20분인가 런치랑 디너 애매하게 겹쳐져서 5시부터인 디너요금내고 이용한다고 했지만 개판이라 5시이전에 걍 나가서 딴데가서 밥먹었다,예전부터 로운이용했는데 점점 음식도개판,직원도개판,위생도 개판돼가고있고 손님들도 그걸느껴서인지 평일디너면 웨이팅하고들어가고했는데 아주 한산함,이랜드나 홍대로운에서 이 글본다면 반성하시길 두번다신 안감",
차라리 가격을 좀 더 인상하더라도 옵션이 제대로 나오면 더 좋을듯,
훠궈는 처음이었는데 훠궈가 맛있었고 주문이 편리했으며 직원분들이 친절하게 안내해 주셔서 매우 좋은 시간을 보냈습니다,
고기 직접 구워주구요 된장밥맛있어요,
너무 식감이,
일본풍 원문 ,
돼지고기 야키토리,
해산물 리조또는 해산물이 별로였고 크림파스타는 괜찮았습니다,
조금 비싼편이지만 얼큰국밥 종류가 상당히 괜찮습니다,
평범한 중식은 가라,
여자도 먹을수있는 맛,
보통맛 시켰는데 마라 입문자들은 순한맛을 추천합니다,
다음에는 다른 치킨도 먹어볼 의사가 있습니다,
일부음식이 너무 자극적이긴 하나 전반적으로 분위기는 좋았음,
밥 양도 선택할 수 있어 좋습니다,
",,",
신선하고 맛좋음,
15 30,
여기 짬뽕은 확실히 맛있었습니다 크림새우는 작은거로 새로운 요리 맛 보는 정도로만 드시면 될거같네요,
하는 것 같은 집 알바생들도 한국말 잘해서 깜짝놀랐습니다,
게다가 계란은 추가 1천원,
그러나 팬케이크는 가격대비 매우 맛있었다,
깔끔한맛 입니다,
신선한 음식,
건강한 한식이 먹고싶을 때 종종 가요 계절마다 메뉴가 바뀌어서 고르는 재미가 있어요 여름메뉴였던 비빔밥과 명란순두부찌개는 맛있어서 다음에 방문했을 때도 또 주문했어요,
"새로운 맛, 색다른 경험입니다",
6테이블 정도의 작은 식당입니다,
돼지샤브샤브랑 꼬치구이 아주 맛있음,
고기도 맛있고 서비스도 만족해요,
웨이팅이 있는 날이 대부분이니 웨이팅 시간 생각하고 가셔야 해요,
최고였다,
처럼 육즙을 위한 젤라틴을 넣지 않는다고 합니다,
일본식 볶음밥 세트를 먹었습니다,
사장님 친절하고 갈매기살도 맛잇게 먹엇습니다,
육수냄새인지 뭔지 기름섞인 냄새가 가득함,
근데 물냉면은 그닥이요,
기본으로 나오는 해물탕이 미쳣어요 너무 맛잇어요,
"육향과 동치미 국물의 조합이 좋았고, 무엇보다 면이 참 매력적입니다",
우리 동네에도 은행골 있으면 좋겠다,
조금 덜 삶아진듯 했어요,
라구소스가 가득 찬 파스타에 구운 바게뜨를 올리고 치즈를 안 아끼고 넣은 듯한 비주얼이에요,
신메뉴 존맛탱,
와인은 서비스로 내어주셨다,
갈매기살이 부드러워서 좋네요 ,
평범,
질보다 양이 만족스럽다,
굴짬뽕과 탕수육이 맛있어요,
블랙라멘 차슈추가 멘마추가 면보통 간이 좀 쎄서 보통면이 좀 두꺼운 면인데도 잘 어우러짐 밥이랑 먹음 더 맛있을거같음 얇은면으로 바꿀수도 있음,
서울 사람들은 혀가 없나,
맛이 없을수없었어요 너무 맛있었습니다,
주말 저녁은 대기도 있음,
전보다 너무 설탕이많다,
주문 받고 30분 40분 소요됩니다,
쭈꾸미 시키면 볶음밥 주는거 이외에 특별한 다른 맛 없습니다,
맛있었고 다양한주류가있어 좋았습니다,
난 어디선가 츠케지루가 좀 싱겁다는 얘기도 봤었어서 라멘모토의 묽은 츠케지루는 질색이었던지라 싱거운게 싫어서 그렇게 부탁드린건데 손님들의 반응이 이럴 줄은 몰랐어서 이 가게의 스프가 원래 진한편인가보다 함,
삿포로에서 먹은 스프카레를 잊지못하고 일어나자마자 갔더니 다행히 오픈 2분전,
"파스타 빼고 다먹어봤는데 살치살이 더 맛있고, 맛있어서 큰사이즈도 충분히 먹을 수 있을 정도입니다",
젤 진한맛은 엥간한사람들은 짜서 못먹음,
볶음밥은 그럭저럭 오케이,
중국사람 많아요 친절해요 다 한국인인줄,
비주얼에 속았다,
종종 점심때 혼자 라멘땡기면 오는 맛집,
독특한육수맛이라서 한번 추천드리고 싶은 가게입니다,
훌륭하고 친절한 서비스,
"그들은 훌륭한 음악, 회사 및 가장 중요한 치킨을 가지고 있습니다",
다른말 필요없습니다 무조건 가세요,
"쯩겨랑 하이샤오롱바오를 먹었는데 적절한 간과 맛있는 소, 부드러운 만두피에 뭔가 먹고나서도 더부룩한 느낌이 전혀 안드는 맛있는 만두였다",
양도 많고 괜찮았음,
5000원으로 밥이 연어 덮밥이 됩니다,
개인적으로는 좀 짜서 먹다가 질렸다,
피자 저렴하고 맛있습니다,
불닭,
"목살구이 맛있고, 온도를 재고 요리하는 등 다양한 방법으로 손님의 입맛을 맞춰주려 노력함",
도우는 씬 정도는 아니고 기본이라 갈릭소스에 찍어먹으면 딱 좋습니다,
제일 잘나가는 메뉴라고해서 메인 오믈렛을 시켜봤는데 나도 만들수 있을 것 같은 퀄리티에 메뉴판에 적혀있던 설명과는 다르게 치즈는 육안으로 안보이는 만큼 맛에서도 느껴지지 않았다,
샤브와 구이중 하나만 선택한다면 구이,
나쁘지 않은 맛이었습니다,
제발 식당에서는,
"완성도 있는 음식에 분위기도 좋아서 데이트, 소소한 대화를 나눌 모임 장소로 아주 좋습니다",
요즘 급격한 인기몰이를 하고 있는 곳,
찾아가진 않더라도 근처에 또 지나가면 들릴것 같다,
"포테이토만 먹어봄, 해쉬브라운 같은 맛 감자토핑 맛있음, 테이블이 넘 좁음",
친절과 맛의 조화,
너무 맛있어요 홍대최고맛집,
은행골의 장점을 이제는 잘 모르겠습니다,
어떻게 아무도 이것을 별 5개 미만으로 줄 수 있는지 전혀 모릅니다,
그냥 버밀이라는 이름 만으로 모든 것이 설명됩니다,
가격은 글쎄요,
굿 그냥 다 좋아요,
금요일 저녁에 가서 그런지 사람이 많았습니다 근데 예상보다는 그리 많지 않았던,
4인정도 가면 23만원대에 배부르게 먹을 수 있다,
정말 맛과 정이 넘치는 곳입니다,
맛은 4점 전체 평점3점 솔직히 럭셔리,
정말 맛없어요,
종로 저점만 가봤는데 홍대 지점은 구성이 다르네요,
상가내 푸드코트지만 사장님과 모든 분들이 너무 친절하십니다,
장소는 낡았고 낡았지만 개성이 넘쳤습니다,
"오랜만에 지인분들과 강남역에서 모임을 하기로 했는데, 어디갈까 고민을 많이 하다가 점심메뉴로 카레",
에어컨에서 물떨어지는건 어케 하셔야할듯,
줄이너무 길지만 그만한 가치가있는곳,
비주얼부터 맛까지 체고에요 매일 오고싶을정도에요 직접 다 구워주시고 저희는 먹기만 할뿐,
스프는 묽은 편,
닭찍어먹는 부추와 소스먹으러 가는 소스맛집임,
가격은 생각보다 쌘편이지만 런치타임11시30분12시 30분을 이용하면 기본 7000원추가를 통해 저렴하게 즐길수있다,
직원들은 매우 사랑스럽고 환영했습니다,
웨이팅이 길다는 것을 감안하고 감에도,
전분이 좀 많은 카레라 그렇습니다만 나름 나쁘지는 않습니다,
"웨이팅이 있으며, 인스타그램에서 영업여부를 확인하고 가야한다",
배불리 잘먹었습니다,
총평 전체적으로 냉동식품을 데운 것 같은 느낌 재방문의사 없음,
비정하다고 말하고 그냥 가버리셨습니다,
쭉심 체인점 가시면 날치알 여기 3배만큼 더 줍디다,
양도 적고 불친절해요 혼자가면 더더욱 그렇구요 연어가 비라진 얺아서 좋네요,
"쯔유 소스나 고명, 와사비 등은 면을 맛보는데 방해가 되지 않을 정도로만 간을 해주고, 통통한 면발 덕인지 국물 없이도 든든하게 한끼할 수 있습니다닭튀김 단돈 2,800원만 추가하면 세트 메뉴 사이드치곤 상당한 양과 퀄리티의 튀김을 주문할수 있는데, 겉은 기름기 적게 바삭하게 튀겨내고, 속은 육질이 풍부한 촉촉한 치킨 맛을 볼수 있는 가히 겉바속촉한 요리였습니다",
건강에 좋은 고급음식을 먹는 기분,
자리를 잡고 메뉴를 시킨 후에 음식을 받기까지 지나치게 오랜 시간이 걸렸고 중간에 어떠한 안내도 없었던 점은 아쉽다,
넘 맛나다,
일하시는 분들 가수지망생인줄 일은안하시고 흘러나오는 음악에 어쩜 그렇게 고래고래 소리를 내지르면서 노래를 따라부르다니 말리는사람 아무도 없고 최악이였음 직원관리 시급한듯,
그리고 돈지루 많이 먹어봤는데 진짜 너무 맛있음,
소시지랑 에그 추가해서 드세여,
가게 분위기도 편안하고 산뜻한 느낌이었습니다,
물론 일부 학생들은 나보다 훨 풍족하게 살긴 하지만,
가볍게 식사할게 별로 없는 홍대이다보니 무난하게 한끼해결하기레에는 좋은 선택지다,
"쿠폰을 쓴것도, 무료로 먹은것도, 단품을 먹은것도, 할인을 받은것도 절대로 아닙니다",
여러명이 방문한다면 꼭 드셔보세요 팔보채도 맛있어요 깐쇼새우는 다소 새콤하네요,
다른 직원이랑 퇴근이야기랑 잡담하는데 어이가 없네요,
맛있고 분위기 좋았어요 가성비갑,
샐러드바의 다양성과 신선도 퀄리티고 좋지만 오늘은 신촌 샤브샤브 찾아왔으니,
분위기도 괜찮고 음식도 맛있어요 양도 엄청 많아요,
이 돈이면 다른 곳 가서 먹어요,
일본 현지 맛이랑 비슷해요,
대게 파스타 맛있게 먹었고 피아노 연주하시는 사장님도 좋았음,
귀여운 작은 장소와 훌륭한 프라이드 치킨,
찹쌀 탕수육의 바삭한 맛 일품이었어요,
외국인 관광객이 더 많은 장소입니다,
"맛은 걸쭉하지 않으면서 향신료 맛이 다양하게 느껴지는 스프카레 특유의 맛을 잘 간직하고 있지만, 토핑들에 스프가 잘 배여있진 않은 느낌입니다",
일단 밥이 따뜻하고 간이 잘되있어 아주 맛있게 먹었습니다,
맛있게 잘 먹었다,
주방 보면서 먹을수 있다는게 장점이자단점,
가격 11000원부터 시작 계란말이가 11000원 쭈삼이 11000원 계란이 비싼건가,
혼밥하기에 가격은 좀 쎄도 맛이랑 양은 아주 만족함,
맛없는건 아닌데 일본 삿포로 본점이나 도쿄이케부쿠로 지점에 비하면 좀 아쉬운 느낌,
파스타도 맛있어서 추천합니다,
음식 맛도 좋았고,
다른 밑반찬들도 건강하게 맛있는 느낌이고 무엇보다 메뉴가 주기적으로 바뀌는 점이 좋다,
안심먹으면서 질기다고 생각든건 이번이 처음이네요 고기굽기 설정해달라고해서 미디움 레어루 구워달랬더니 그냥 미디움,
상원냉면은 지하 푸드코트에 위치한 평양냉면계의 숨은 고수이다,
"탕수육, 짜장, 깐풍기",
맛은 무난합니다,
역시 최고 홍대 새마을식당 너무 맛있어요,
홍대주변 물가 비싼거치고 2만원에 고기 무제한으로 먹을수 있는건 좋네요,
순서를 쓰거나 하는 종이는 없기 때문에 가게 앞에서 기다리고 있으면 순서대로 안내됩니다,
가격도 싸요,
한참 맛있게 먹었는데 나중에 칼국수 면을 넣으니 많이 짜졌어요,
가격도 싼편도 아니라 두번방문은 안할 듯 합니다,
고기는 여기 아니면 젤리다,
맛집 이름값 합니다,
흔한 베트남쌀국수집,
볶음밥 포함인데 날치알을 많이 넣어주어서 톡톡 터지는 식감이 좋음,
세상사람들,
메뉴가 굉장히 다양해서 좋고 맛있다,
저녁에 오면 주변 회사에서 회식하는지 긴 테이블에 와인놓고 드시는 분들도 많음 포장도 되니까 좋아요,
면발이 쫄깃하고 튀김도 맛있었어요,
정말 아쉬운건 약간 짠맛의 간,
"운영자의 말투와 표정, 태도 등의 응대가 매우 불손하여 불쾌했지만 여기까지는 바쁜 일손 때문일 수 있겠다 싶어 받아들이려 했습니다",
"제가 먹은 메뉴는 스페셜 2인세트와 습식숙성 한우채끝 구이였는데 모든 요리의 맛이 훌륭했고, 요리가 나올때마다 직원분들의 간략한 설명이 곁들여져 더 맛있게 먹을 수 있었습니다",
바삭하고 안은 촉촉한 식전 마늘빵을 시작으로 매콤한 파스타와 완벽한 스테이크 그리고 추천해주시는 와인과 차까지 힘들었던 한 주의 피로가 모두 풀리는 행복한 저녁이었습니다,
나는 2019년에 한국을 처음 방문했을 때 이곳에 갔다,
군만두 찐만두 딤섬들이 다 맛있고 동파육도 청경채와 아삭 씹으면 정말 행복해집니다,
검은직원에 기분이 상했는지 우리테이블에 물을 안갖다줘서 일행이 냉장고에서 물을 꺼내와서 마심,
음식은 괜찮 았지만 전반적으로 실제로는 더 번거 렸습니다,
개인적으로는 보통인 밥이 나한텐 좀 많아서 조금으로 시켜도 괜찮을듯,
음식깔끔 야외랑 연결되어있어서 분위기 좋고 접근성좋음,
다시 올 것이다 또는 확실히,
시그니쳐 메뉴라는 스파이시 수란 파스타가 제일 맛있긴했어요,
외관도 평범치는 않았음,
친한지인의 모임장소,
오랜만에 다시 방문하고 싶다,
일단 불친절해요 아니 무친절말투가 가르치는것같고 야단치는것 같고 무예의 권위주의적입니다,
마시쪄,
그정도 돈을 지불할거면 다른곳 가겠습니다 직원들은 자기들끼리 이야기하느라 시끄럽고 고기도 질기기가,
직접 연주하시는 피아노가 선명하고 깨끗해서 좋고 파스타가 맛있다,
"가격 나쁘지않고, 음식맛도 좋다",
다음에는 추가 해야겠다,
좋아요 좋습니다,
이정도로 장사 잘되면 외부 가게로 독립해도 될 것 같은 느낌,
맛이나 메뉴구성 가격 모두 별로,
덕분에 점원들 눈치 안보이고 조용하니 좋습니다,
쌀국수는 최고 비싼 것까지 5가지 정도 먹어봤는데 그래도 고등어칼국수가 제일 낫습니다,
"솥밥집으로 가성비 그닥 나쁘지 않고 컨셉이나 구성, 맛도 괜찮아요",
달짝지근한 돈가스소스를 기대했으나 그냥 짰던 일본여행돈가스처럼,
요리 다 맛있어요,
정말 맛이 없네요 김치부대찌게를 먹었는데 그냥 맹탕이네요,
주꾸미볶음보다 알마니볶음밥이 더 맛있어요,
비주얼도 이쁘고 정갈하게 잘 올려져서 나와요,
가격도 저렴하고 맛도 좋아요,
프렌차이즈가 장악한 홍대에 보석같은 곳임,
좀 비싼 감이 없지 않았지만 브런치 즐기기에 좋다,
홍대에 아담한식당 간장새우는 알도 통통했고 밥도 고슬고슬해서 비벼먹기도 맛있었네요,
가격대비 양이 좀 작은 느낌이지만 그래도 회가 맛있었고 스끼다시가 맛있었어요,
원래 저기다 호일붙여서 주마다 닦아줘야 하는데 그러지도 않은거 같구요,
참치초밥이 맛있어요,
전가복은 둘이 먹기에 좀 양이 많아 포장해 왔습니다,
다른 곳에서 파는 것과 다름,
홍대에서 한식을 접대하고 싶거나 법카를 갇고 있음 갈만한곳,
예전보다 점바점이 많이 심해진거같습니다,
음식의 양과 질은 좋습니다만 계속 그것만 먹기에는 좀 기름지고 물립니다모듬 꼬치 주문 피클이나 절임 종류가 같이 나온다면 더 좋았을 것 같습니다,
가격 대비 양도 많고 정말 맛있어요,
완전 맛있어요 깻잎 무한리필인게 짱 안매운 맛도 매콤하니 맵찔이는 안맵게 추천,
생각나면 방문하는 곳,
내가 좋아하는곳,
"맛 보통중국집 맛 특별한건 없음,소소",
그들이 더 많은 빵 옵션을 가지고 있었으면 좋겠다,
수육국밥과 뼈해장국 주문했어요,
주인장과의 의리 맛있어요,
